step,time_ns,rg_A,end_to_end_A,lead_z_A,tail_z_A,dna_COM_z_A,lead_radius_A,lead_above_cis_CA_plane_A,c1_below_trans_CA_plane,minimum_DNA_protein_heavy_A,contact_pairs_3p5A,contacting_DNA_residues_3p5A,contacting_protein_atoms_3p5A,stacked_adjacent_pairs_ring_centers,dna_max_bond_A,nearest_DNA_image_A
1775000,1.775,29.23435660222889,62.20591064525505,85.52554210584307,147.70799643784807,115.63517461822141,8.540464152810681,8.85291783782705,0,2.982845729293023,8,3,6,11,1.639678943581026,100.75266181190742
1800000,1.7999999999999998,29.043592480618965,61.03402280682573,85.05064738446553,146.0313392432441,115.49637826705613,10.069780247796576,8.378023116449512,0,2.844240935032093,7,4,5,11,1.6590713001456845,100.70100120066868
1825000,1.825,28.64357977394293,59.72740148323646,85.85529825772329,145.55331774575677,115.12203103416813,8.291651673363855,9.182673989707268,0,2.7864753196874155,1,1,1,11,1.6322412935132085,99.59284825002214
1850000,1.8499999999999999,28.79059969004021,60.89683270031964,83.9370460457026,144.82689922558845,114.81299204570382,8.794869401403702,7.264421777686579,0,2.926960360647717,9,3,5,11,1.6681779987989063,99.88573148884485
1875000,1.875,28.972561096321765,58.404034237548004,85.9803545809632,144.3487045501254,115.30293140660672,9.525542425175816,9.307730312947172,0,2.84388205645698,9,4,6,8,1.6392513097968793,99.4642714383646
1900000,1.9,29.059865520803562,58.91210297976516,86.12018218421323,145.00129689234083,115.17328279270667,9.734108946928094,9.447557916197212,0,2.874094222972923,10,3,8,11,1.6276234238645333,102.35920274201875
1925000,1.9249999999999998,29.31420816906706,61.43360278078761,85.08225152187593,146.46224247580608,114.94848569537251,10.170611240629825,8.40962725385991,0,2.9205121780687584,5,2,4,12,1.671846348758693,103.79514228645458
1950000,1.95,28.913154729980807,59.9360304415297,84.69114364304633,144.4922156036923,114.27891845693675,9.243539496955544,8.018519375030309,0,3.0201074728401833,6,3,3,11,1.6609603787061762,101.46948373195968
1975000,1.9749999999999999,28.803522707857248,59.173545311903204,85.67734443556185,144.7308228441267,114.56247342305167,9.576199232049646,9.004720167545827,0,3.2379345153247123,6,3,5,10,1.640915156785871,102.99748714682299
2000000,2.0,28.859118175430552,58.868593125342976,85.94344324824772,144.55407213626972,114.41811161996995,10.729528098080591,9.270818980231695,0,3.04843391440101,7,2,5,10,1.6552414139928997,104.06827678353318
2025000,2.025,28.754540608082642,57.64663297180086,86.70308379410233,144.0332520506353,114.25645507431052,10.204247306845176,10.030459526086304,0,2.839971930102586,8,3,5,9,1.6546593237313576,103.18857453279486
2050000,2.05,28.65325925590817,57.20116999792225,86.86389428402451,143.75251836928163,114.1903737406721,9.781565014434308,10.191270016008488,0,2.9497370046010754,11,2,5,10,1.6519674029406997,103.93976071665814
2075000,2.0749999999999997,28.315421967806376,55.63585799054202,87.12102933108278,142.49152098895328,114.50157506533074,10.874236968341576,10.448405063066758,0,2.956298349316751,7,3,5,13,1.6482407480388004,105.04230752956651
2100000,2.1,27.856088097763053,54.06952562181568,87.99093083696738,141.82824565329824,114.322905412928,10.447674615028653,11.318306568951357,0,2.8788272851512753,4,2,3,10,1.6758459444387335,104.77653709984666
2125000,2.125,27.909499309213317,54.94785120187865,87.29086699380628,142.0653529577436,114.12730437938195,9.688561187563892,10.618242725790253,0,3.0849932149540455,4,2,3,12,1.629393224275415,104.35024894127565
2150000,2.15,27.923542680250094,54.81746667818875,87.22238565296215,141.7956185381643,114.07277494076156,10.698863887391429,10.549761384946123,0,2.8613271350824427,6,2,4,11,1.6363600314981512,104.2687538463609
2175000,2.175,27.60248704633497,55.05075793378156,87.18860669044813,142.02848839013834,113.95795820981347,11.11073410619702,10.515982422432103,0,2.9147318257247026,5,3,4,10,1.6299869656405443,104.74606693765581
2200000,2.1999999999999997,27.780752796085828,54.8876278575663,87.12763553359122,141.66446821909656,114.01726806512427,11.042344673178816,10.455011265575195,0,3.1218392409375006,4,3,4,10,1.6493055277552222,103.91297623185082
2225000,2.225,27.801311451694684,54.558604914020655,86.91380942128148,141.10388054973453,113.92571963770065,10.912034875989658,10.241185153265462,0,3.1567229571562536,3,2,3,10,1.6534196001772303,103.97216206074458
2250000,2.25,28.024422258418337,55.16346790184173,87.00526443344813,141.68945483411574,113.73920410467686,12.19691287933748,10.33264016543211,0,3.11575954197166,5,3,4,8,1.663096941669956,102.69386660006516
2275000,2.275,27.997064306479295,55.80080989490726,86.57866953905923,141.96484370083297,113.56481313892078,11.611649887589026,9.906045271043212,0,3.2650624922068783,3,2,3,12,1.6485403411873796,101.63606627793718
2300000,2.3,27.894576909811267,55.82816061952885,86.00787412576022,141.3045810629645,113.1588651871309,10.991414307800989,9.335249857744202,0,2.978751924959917,9,2,5,10,1.6602795624362834,100.91631206720817
2325000,2.3249999999999997,27.743790539556173,54.53143553534196,86.3825637932695,140.42196974236128,112.85164381217285,11.474500883897486,9.709939525253475,0,3.191484403650049,7,3,6,10,1.6552778739055267,101.14712126363483
2350000,2.35,27.819441889824382,54.70083682870663,86.4495387847221,140.68054947869027,112.57630360423879,11.65954490892793,9.776914516706071,0,3.047791176514663,7,2,4,10,1.6447064981796047,99.59679593696339
2375000,2.375,27.937105773091115,55.48545829630614,85.88457589584496,140.93616102558522,112.79047173463776,12.042390096070674,9.211951627828938,0,2.955135434887648,6,4,5,8,1.6521788364332843,99.62711872596303
2400000,2.4,27.81962378085916,54.758671827421004,86.34271904207954,140.7503361147387,112.82088042229337,10.485666554114776,9.670094774063514,0,2.9450562169934162,4,3,4,10,1.6471171202625878,99.97913328832453
2425000,2.425,28.066817706564294,54.91070476493072,86.23532054265183,140.67872845480846,112.716232816896,10.243353516567408,9.562696274635812,0,3.130995633800294,6,3,4,9,1.6716561982412823,99.28854949343246
2450000,2.4499999999999997,28.39945216918699,55.94174655260138,85.97912369468345,141.4565288034584,113.52028582291803,11.119629456849365,9.306499426667429,0,3.141414548617909,7,2,5,9,1.6339770997221654,100.05273164700546
2475000,2.475,28.2117722565332,55.67083670446944,85.99007438153707,141.0680321302005,113.23844242620909,12.459055202146693,9.317450113521048,0,2.890806490007876,7,3,5,10,1.6799653950692799,99.90104571895391
2500000,2.5,28.105215092901975,54.33495544280456,87.0178544466992,140.81214979805466,113.31099817068628,11.03373195582108,10.345230178683181,0,3.111596520222338,5,1,4,12,1.6307543473874524,99.13431105170481
2525000,2.525,28.357658076739284,55.609460282776276,86.83011703803905,141.52483874167342,113.21306989197116,13.144358608465236,10.157492770023026,0,3.153372541752202,6,2,5,10,1.638217816538308,99.52337496245657
2550000,2.55,28.08618595513659,55.278383856236154,87.09362931788601,141.57162132828924,113.1565698012234,11.890799972873529,10.42100504986999,0,3.4442914917836402,1,1,1,11,1.6476452670583615,99.76033299107907
2575000,2.5749999999999997,28.105849455632683,54.2968143918163,87.46492487150918,141.0685989425196,113.12524940336188,11.704685951359657,10.79230060349316,0,3.051693432741023,5,2,2,8,1.6423697416330278,98.6843152822964
2600000,2.6,28.15642924722909,54.748766797812905,86.46908280850604,140.6141322017996,113.10332011136566,11.06779038126264,9.796458540490022,0,3.302454778971136,1,1,1,10,1.6481318995543637,97.68896694163774
2625000,2.625,28.305121153690422,55.64133522745556,86.73078510342032,141.69947608345294,113.2544484780975,13.07776053919505,10.058160835404294,0,3.1676729001847495,2,1,2,9,1.659345096448119,99.21225447789894
2650000,2.65,27.964900345268035,55.14964550936221,87.09345563772158,141.6200326008813,112.91830168412719,12.08636946106521,10.420831369705553,0,3.0661621369029644,4,1,3,10,1.6544911297771823,98.31479670472432
2675000,2.675,28.07429969212554,56.07682165667114,86.57400975524274,141.84046109431435,113.05421704474307,12.738283430762195,9.901385487226719,0,3.0511918514581904,8,3,5,11,1.638645896013736,98.24712792094168
2700000,2.6999999999999997,27.708390725058553,54.56198171474893,87.0442651101883,140.79656040182215,112.73506710649643,13.382300499687773,10.371640842172283,0,3.0523288055748976,2,1,2,8,1.6789237630958018,97.61505007259497
2725000,2.725,27.502049277197024,52.97306516266823,87.17929128597915,139.3039274299048,112.49145048099692,12.840813976694218,10.506667017963125,0,3.0549892940026284,7,3,6,8,1.6596579456352087,97.25060965171542
2750000,2.75,27.744097456725935,54.427834709062815,87.11304409114248,140.96425972335138,112.78893175241666,12.395404129268668,10.440419823126462,0,2.8362899677511426,11,3,8,8,1.6737999172560951,98.8568752953814
2775000,2.775,27.831162346310425,55.521971677924206,87.68187339296314,142.618644914465,113.13223477761615,12.330244453853965,11.009249124947118,0,2.936969873885698,8,2,7,12,1.6638944081645237,99.45091197352211
2800000,2.8,27.51651096697945,54.05148748073853,88.97692627181938,142.43122762404465,113.35959145009012,11.867574450162632,12.304302003803357,0,2.856002158133805,8,2,8,8,1.6784488951075174,99.71763017609543
2825000,2.8249999999999997,27.61610597316075,54.23758160754085,88.24140059805562,141.75226321087507,113.42358041859801,12.114185338477826,11.568776330039597,0,2.9105340284960195,6,2,6,7,1.6584936575866382,100.55220856143184
2850000,2.85,27.412294736056136,52.40001353974407,88.35381565601011,140.34947503424556,112.94112282676342,10.90039854222406,11.68119138799409,0,2.9180429937227186,4,3,3,11,1.6627118673798562,100.4623704797068
2875000,2.875,27.235880365243204,53.46669573942923,88.8392670158642,141.9168586168819,113.4219323155906,11.397634719866495,12.166642747848172,0,3.046062194188585,7,2,6,8,1.667251760964362,101.13386537495288
2900000,2.9,27.484669986432557,53.855437512491555,89.10908245621555,142.61980954874772,113.45908801882813,12.528754285869233,12.436458188199524,0,2.849299368323504,8,2,7,10,1.6389967125895786,100.85216945281543
2925000,2.925,27.625857124568334,52.93436170660576,89.87771987001297,142.45606796264195,114.18590361508976,12.780518364425054,13.205095601996945,0,3.109647938066662,3,2,3,8,1.6701773991416273,101.46822150089787
2950000,2.9499999999999997,27.490208432004632,53.22285640170703,89.478851410131,142.2062754567441,113.52182766702812,12.836943965778618,12.806227142114977,0,2.87389462414876,6,3,6,8,1.668142903459301,99.57817072443338
2975000,2.9749999999999996,27.66203714261516,53.8503948024338,89.06048264563245,142.48945932703933,113.43123722379627,10.427103972873692,12.387858377616425,0,2.8659519302789707,6,3,5,9,1.6608544264335765,100.62643894277993
3000000,3.0,27.58375748961767,52.67424457202454,89.13615458696228,141.6153701590082,113.26623445738554,10.425068796130535,12.463530318946255,0,2.868392340606073,8,4,7,11,1.6630963937049938,99.75960745817451
3025000,3.025,27.55147819864155,51.49991484666954,89.47950993681849,140.56657895899363,113.02477190630967,10.306652195081949,12.806885668802465,0,2.8172162479340765,11,3,8,9,1.6583584812749639,98.86877131729462
3050000,3.05,27.966912571066718,53.193900953764015,89.48965263144089,142.36355476369604,113.68391288334448,11.061353122408907,12.817028363424868,0,2.8844975625073443,7,2,6,8,1.642895230698266,99.62489915996768
3075000,3.0749999999999997,28.094286228453402,54.3582375577995,89.22008979757136,143.2261885616151,114.0555224474284,11.074626099212676,12.547465529555339,0,2.8479691397311244,3,2,2,10,1.64253537779294,103.53718287875135
3100000,3.0999999999999996,28.546559489112195,56.02306067180673,89.04823250368341,144.7343570641399,114.17648419505177,10.201678824840506,12.375608235667386,0,3.0946124921823084,15,3,9,9,1.6602108980891688,103.90605115499312
3125000,3.125,28.621079813177694,55.19569248329837,89.3761019898203,144.3152964590246,114.40867709984957,10.784239765952677,12.703477721804276,0,2.960216431237109,14,3,8,11,1.657626984660605,103.50661800487731
3150000,3.15,28.50854397382883,55.7032705728011,88.77470654779927,144.2744215006301,114.5830664595485,12.177847691341002,12.102082279783247,0,2.7183908575824605,12,3,9,8,1.6501159272584067,104.21155189217669
