sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dA40,3.71,48.71,24.761859,51.246213,264.59765,0.193676,0.54880578,9,3,0.625,0.475,0.65,0.18621146,29,3,9,1.6557174
dA40,3.72,48.72,24.988858,51.508728,265.02391,0.19435502,0.54286888,10,3,0.55,0.425,0.625,0.2026506,31,3,7,1.6608433
dA40,3.73,48.73,24.670069,51.43278,262.62521,0.19584099,0.5397296,11,3,0.5,0.4,0.7,0.1871972,28,2,8,1.6577253
dA40,3.74,48.74,24.650298,51.175547,263.74864,0.19403151,0.54229371,10,4,0.575,0.4,0.8,0.19793808,26,3,10,1.6526536
dA40,3.75,48.75,24.732809,51.903846,263.05524,0.19731158,0.52588637,12,4,0.5,0.35,0.675,0.18517831,27,4,9,1.6692661
dA40,3.76,48.76,24.831771,51.538851,265.07784,0.19442912,0.51676799,9,3,0.625,0.525,0.725,0.20609871,26,2,7,1.6633968
dA40,3.77,48.77,24.841939,51.252341,264.89963,0.19347834,0.54474695,11,3,0.55,0.475,0.7,0.20658093,28,1,7,1.6589231
dA40,3.78,48.78,25.09132,51.769865,265.64978,0.19488014,0.55420776,9,3,0.6,0.525,0.65,0.20372776,29,4,7,1.6462712
dA40,3.79,48.79,25.206143,52.452067,264.91726,0.19799415,0.55127286,11,4,0.525,0.4,0.725,0.17707431,27,3,7,1.6334083
dA40,3.8,48.8,25.169474,52.42732,261.56694,0.20043557,0.54922416,14,3,0.45,0.35,0.65,0.18071478,27,2,6,1.6499582
dA40,3.81,48.81,25.186579,52.702393,263.00205,0.20038776,0.5495961,14,3,0.425,0.35,0.675,0.1901419,27,1,5,1.6323238
dA40,3.82,48.82,25.3214,53.403795,264.74378,0.20171879,0.55174135,13,3,0.475,0.375,0.625,0.19126444,28,3,5,1.6499607
dA40,3.83,48.83,25.263121,53.200782,261.94439,0.20309953,0.55143563,15,3,0.425,0.35,0.625,0.19338919,28,4,8,1.6413491
dA40,3.84,48.84,25.205032,53.099883,264.05259,0.20109586,0.52399903,12,3,0.5,0.425,0.625,0.20920599,29,3,8,1.6677669
dA40,3.85,48.85,25.093654,52.426775,263.82511,0.19871791,0.53033966,14,3,0.45,0.4,0.65,0.17871654,29,2,6,1.6477998
dA40,3.86,48.86,25.326641,52.802318,262.54872,0.20111436,0.53244112,13,3,0.425,0.325,0.675,0.17066723,28,4,8,1.6405004
dA40,3.87,48.87,25.402299,53.567546,262.86376,0.20378445,0.53998099,14,3,0.45,0.375,0.7,0.18713221,28,2,4,1.6216969
dA40,3.88,48.88,25.427043,53.588081,263.40572,0.20344312,0.52911329,13,3,0.425,0.325,0.7,0.19018377,28,3,6,1.6536861
dA40,3.89,48.89,25.370751,53.075066,264.77419,0.20045408,0.53078774,12,3,0.475,0.375,0.55,0.17067096,30,4,9,1.6402536
dA40,3.9,48.9,25.376736,52.096983,263.17696,0.1979542,0.53059382,13,3,0.425,0.35,0.625,0.14601283,30,3,7,1.6313488
dA40,3.91,48.91,25.571243,52.46758,265.26973,0.19778955,0.54249236,11,3,0.55,0.475,0.75,0.15182612,30,3,7,1.6451454
dA40,3.92,48.92,25.642447,53.004777,261.424,0.20275406,0.55374125,12,3,0.5,0.375,0.475,0.17676928,30,1,5,1.6301557
dA40,3.93,48.93,25.381533,51.776015,264.76261,0.19555637,0.53757679,10,4,0.575,0.45,0.65,0.17448212,29,5,9,1.6495046
dA40,3.94,48.94,25.066928,51.580915,263.32793,0.19588091,0.52985884,13,4,0.5,0.35,0.65,0.18515161,30,6,7,1.6464366
dA40,3.95,48.95,25.205587,50.869533,266.37015,0.1909731,0.52894363,12,3,0.5,0.4,0.6,0.17030127,29,5,6,1.6369979
dA40,3.96,48.96,25.110959,51.008607,264.57576,0.19279396,0.52465884,13,5,0.5,0.325,0.575,0.14228326,29,5,9,1.6490201
dA40,3.97,48.97,25.316047,52.242221,262.36383,0.19912128,0.54234644,12,4,0.525,0.375,0.625,0.16952568,29,4,8,1.6532901
dA40,3.98,48.98,25.218899,51.175688,264.39168,0.19356013,0.52976392,14,4,0.45,0.325,0.675,0.13496167,29,5,8,1.6378438
dA40,3.99,48.99,25.106175,52.698148,263.24176,0.20018917,0.53309594,13,4,0.475,0.35,0.7,0.1563821,27,5,8,1.6864194
dA40,4,49,25.41603,53.249468,265.34753,0.20067821,0.53677314,14,4,0.425,0.3,0.7,0.14722034,27,4,9,1.6509528
dA40,4.01,49.01,25.79677,53.186953,264.14667,0.20135386,0.54482849,12,5,0.525,0.35,0.575,0.1474681,29,4,7,1.6671517
dA40,4.02,49.02,26.250238,54.958606,262.99394,0.2089729,0.56364286,13,4,0.475,0.35,0.675,0.15046213,31,5,9,1.650793
dA40,4.03,49.03,26.165862,54.344088,265.51604,0.20467346,0.56670448,14,4,0.45,0.325,0.725,0.14807442,28,4,7,1.6380111
dA40,4.04,49.04,26.144877,54.239292,265.4523,0.20432783,0.56958762,12,4,0.475,0.325,0.575,0.16736883,30,4,8,1.6493057
