sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dT40,2.4,2.4,26.340224,63.980592,292.4111,0.21880357,0.66451313,6,7,0.75,0.35,0.275,0.0014577052,29,0,4,1.633081
dT40,2.41,2.41,26.695728,64.733486,295.77876,0.21885779,0.67545672,5,7,0.8,0.35,0.2,0.0040846589,33,0,3,1.6801925
dT40,2.42,2.42,26.859772,66.602511,291.93896,0.22813848,0.68489453,3,9,0.875,0.375,0.25,-0.0051001873,29,0,3,1.6550989
dT40,2.43,2.43,26.825569,65.734927,290.74674,0.22608999,0.68355811,5,6,0.8,0.45,0.325,-0.023648476,28,1,6,1.6682895
dT40,2.44,2.44,26.600294,65.966871,291.56477,0.22625117,0.67818786,6,7,0.75,0.3,0.25,-0.035574623,30,1,3,1.6626801
dT40,2.45,2.45,26.734222,64.810809,293.84922,0.22055804,0.6974929,5,7,0.8,0.4,0.225,-0.021701063,28,1,4,1.6506053
dT40,2.46,2.46,26.893658,66.131564,290.84615,0.22737645,0.71230614,6,7,0.75,0.35,0.35,-0.023642295,30,1,6,1.6579082
dT40,2.47,2.47,26.965101,67.074772,291.9263,0.22976611,0.71330199,5,6,0.8,0.4,0.35,-0.043464372,30,1,4,1.6594122
dT40,2.48,2.48,26.895439,66.559565,293.91162,0.22646116,0.70500926,5,7,0.8,0.4,0.275,-0.034430826,32,0,4,1.6318919
dT40,2.49,2.49,26.758687,66.725222,289.88701,0.23017665,0.6909518,5,6,0.8,0.45,0.275,-0.022833161,30,0,2,1.6279783
dT40,2.5,2.5,26.478456,65.937278,292.37867,0.22552014,0.69620801,5,7,0.8,0.35,0.325,-0.035232072,29,0,2,1.6585968
dT40,2.51,2.51,26.866874,68.653159,291.9764,0.23513256,0.70406717,5,8,0.8,0.35,0.25,-0.01350701,31,0,3,1.6594318
dT40,2.52,2.52,26.710081,67.897024,292.3394,0.2322541,0.69726906,5,5,0.8,0.425,0.275,-0.046992667,30,1,3,1.6832763
dT40,2.53,2.53,26.605039,67.509233,293.92602,0.22968103,0.68608392,5,6,0.8,0.5,0.325,-0.033690958,30,1,4,1.6444224
dT40,2.54,2.54,26.387828,67.010005,296.75319,0.22581056,0.67606409,5,6,0.8,0.4,0.3,-0.014621089,30,1,5,1.6616036
dT40,2.55,2.55,26.392092,68.241627,294.86164,0.2314361,0.68642207,5,6,0.8,0.45,0.325,-0.030203461,32,1,4,1.6650951
dT40,2.56,2.56,26.238788,67.720086,292.97058,0.23114978,0.67496781,4,6,0.825,0.475,0.3,-0.032461999,32,1,3,1.6476969
dT40,2.57,2.57,26.317051,67.805388,296.63645,0.22858077,0.67290676,5,4,0.8,0.575,0.225,-0.021916485,31,1,4,1.6548686
